"동별","주택종류별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"중구","연립주택","주택종류별 주택 (동별)","","1944","1940","1944","1896","1879",
"중구","다세대주택","주택종류별 주택 (동별)","","6719","7095","7352","7370","7572",
"중구","비거주용건물내주택","주택종류별 주택 (동별)","","888","861","869","861","833",
"용산구","종류별 주택수","주택종류별 주택 (동별)","","71680","72463","74542","75739","77116",
"용산구","단독주택","주택종류별 주택 (동별)","","14792","14487","14064","13716","13450",
"용산구","일반단독주택","주택종류별 주택 (동별)","","5361","5129","4941","4794","4698",
"용산구","다가구주택","주택종류별 주택 (동별)","","7609","7554","7359","7193","7054",
"용산구","영업겸용주택","주택종류별 주택 (동별)","","1822","1804","1764","1729","1698",
"용산구","아파트","주택종류별 주택 (동별)","","35728","36181","37676","38631","39805",
"용산구","연립주택","주택종류별 주택 (동별)","","3996","3959","3969","3911","3887",
"용산구","다세대주택","주택종류별 주택 (동별)","","16416","17107","18124","18785","19309",
"용산구","비거주용건물내주택","주택종류별 주택 (동별)","","748","729","709","696","665",
"성동구","종류별 주택수","주택종류별 주택 (동별)","","87830","91037","91329","91033","90740",
"성동구","단독주택","주택종류별 주택 (동별)","","10944","10782","10525","9916","9410",
"성동구","일반단독주택","주택종류별 주택 (동별)","","2281","2052","1947","1820","1733",
"성동구","다가구주택","주택종류별 주택 (동별)","","6851","6899","6759","6337","5966",
"성동구","영업겸용주택","주택종류별 주택 (동별)","","1812","1831","1819","1759","1711",
"성동구","아파트","주택종류별 주택 (동별)","","63976","67058","67584","68090","68125",
"성동구","연립주택","주택종류별 주택 (동별)","","2032","2021","1990","1976","2058",
"성동구","다세대주택","주택종류별 주택 (동별)","","9785","10095","10158","10031","10177",
"성동구","비거주용건물내주택","주택종류별 주택 (동별)","","1093","1081","1072","1020","970",
"광진구","종류별 주택수","주택종류별 주택 (동별)","","85638","89132","89832","91432","93555",
"광진구","단독주택","주택종류별 주택 (동별)","","16002","15786","15332","15096","14901",
"광진구","일반단독주택","주택종류별 주택 (동별)","","678","608","617","613","619",
"광진구","다가구주택","주택종류별 주택 (동별)","","12292","12140","11711","11478","11300",
"광진구","영업겸용주택","주택종류별 주택 (동별)","","3032","3038","3004","3005","2982",
"광진구","아파트","주택종류별 주택 (동별)","","30425","32089","32135","32571","33862",
"광진구","연립주택","주택종류별 주택 (동별)","","4152","4068","4054","4119","4158",
"광진구","다세대주택","주택종류별 주택 (동별)","","33565","35697","36858","38226","39240",
"광진구","비거주용건물내주택","주택종류별 주택 (동별)","","1494","1492","1453","1420","1394",
"동대문구","종류별 주택수","주택종류별 주택 (동별)","","100802","104821","103520","104287","106441",
"동대문구","단독주택","주택종류별 주택 (동별)","","19484","18990","17120","16388","16110",
"동대문구","일반단독주택","주택종류별 주택 (동별)","","5735","5274","4344","4083","3994",
"동대문구","다가구주택","주택종류별 주택 (동별)","","10796","10782","9942","9512","9353",
