,자치구명,시설명,기본주소,위도,경도
188,도봉구,나눔플러스지역아동센터,서울특별시 도봉구 도봉로109길 40,37.6490009,127.0289774
189,도봉구,참솔지역아동센터,서울특별시 도봉구 시루봉로 193,37.6638493,127.0272707
190,도봉구,늘사랑 지역아동센터,서울특별시 도봉구 마들로11길 25,37.6543834,127.0534265
191,도봉구,씨앗지역아동센터,서울특별시 도봉구 도봉로 901,37.66057,127.041903
192,도봉구,도봉지역아동센터,서울특별시 도봉구 도당로19길 68,0.0,0.0
193,도봉구,방학동 지역아동센터,서울특별시 도봉구 시루봉로 88,37.6638493,127.0272707
194,도봉구,샘터지역아동센터(공부방),서울특별시 도봉구 노해로62길 106,37.6497318,127.0375536
195,노원구,구립월계문화지역아동센터,서울특별시 노원구 월계로42길 9,37.6243515,127.0504034
196,구로구,지구촌지역아동센터,서울특별시 구로구 남부순환로 1291,37.500223,126.8472829
197,구로구,영문지역아동센터,서울특별시 구로구 개봉로11길 35-9,37.4873179,126.8523021
198,중랑구,씨앗지역아동센터,서울특별시 중랑구 겸재로 193,37.5865658,127.0792367
199,중랑구,놀이터지역아동센터,서울특별시 중랑구 동일로 880,37.6139172,127.0767503
200,중랑구,파랑새지역아동센터,서울특별시 중랑구 신내로 110,37.6007871,127.0964775
201,중랑구,파란나라지역아동센터,서울특별시 중랑구 면목로 452,37.5822793,127.0886008
202,중랑구,녹색지역아동센터,서울특별시 중랑구 겸재로 78,37.5865658,127.0792367
203,중랑구,열린지역아동센터,서울특별시 중랑구 망우로67가길 11,37.602682349999995,127.10206515472026
204,중랑구,생명강지역아동센터,서울특별시 중랑구 동일로123길 21,37.5997672,127.0739549
205,중랑구,동원지역아동센터,서울특별시 중랑구 면목로56길 38,37.5838949,127.0912496
